timestamp_ms,left_count,right_count,left_speed_ms,right_speed_ms,left_pwm,right_pwm,left_direction,right_direction
76270,337,178,0.000,0.000,20,20,1,1
76370,346,182,0.138,0.069,20,20,1,1
76470,354,187,0.138,0.069,20,20,1,1
76570,362,191,0.484,0.253,20,20,1,1
76670,370,196,0.484,0.253,20,20,1,1
76770,378,200,0.484,0.253,20,20,1,1
76870,386,205,0.484,0.276,20,20,1,1
76970,394,209,0.484,0.276,20,20,1,1
77070,402,214,0.461,0.253,20,20,1,1
77170,410,219,0.461,0.253,20,20,1,1
77270,418,223,0.461,0.253,20,20,1,1
77370,426,228,0.438,0.253,20,20,1,1
77470,434,232,0.438,0.253,20,20,1,1
77570,443,237,0.484,0.276,20,20,1,1
77670,451,241,0.484,0.276,20,20,1,1
77770,459,246,0.484,0.276,20,20,1,1
77870,467,250,0.484,0.253,20,20,1,1
77970,475,255,0.484,0.253,20,20,1,1
78070,483,259,0.461,0.276,20,20,1,1
78170,491,264,0.461,0.276,20,20,1,1
78270,499,269,0.461,0.276,20,20,1,1
78370,507,273,0.461,0.253,20,20,1,1
78470,515,278,0.461,0.253,20,20,1,1
78570,524,282,0.461,0.253,20,20,1,1
78670,532,287,0.461,0.253,20,20,1,1
78770,541,291,0.461,0.253,20,20,1,1
78870,549,296,0.484,0.276,20,20,1,1
78970,557,300,0.484,0.276,20,20,1,1
79070,565,305,0.461,0.253,20,20,1,1
79170,572,309,0.461,0.253,20,20,1,1
79270,580,314,0.461,0.253,20,20,1,1
79370,588,319,0.461,0.253,20,20,1,1
79470,597,323,0.461,0.253,20,20,1,1
79570,605,328,0.461,0.276,20,20,1,1
79670,613,332,0.461,0.276,20,20,1,1
79770,621,337,0.461,0.276,20,20,1,1
79870,629,341,0.484,0.253,20,20,1,1
79970,637,346,0.484,0.253,20,20,1,1
80070,645,350,0.461,0.253,20,20,1,1
80170,653,355,0.461,0.253,20,20,1,1
80270,661,359,0.461,0.253,20,20,1,1
80370,669,364,0.461,0.276,20,20,1,1
80470,677,369,0.461,0.276,20,20,1,1
80570,686,373,0.461,0.253,20,20,1,1
80670,694,378,0.461,0.253,20,20,1,1
80770,702,382,0.461,0.253,20,20,1,1
80870,710,387,0.484,0.276,20,20,1,1
80970,718,391,0.484,0.276,20,20,1,1
81070,726,396,0.461,0.253,20,20,1,1
81170,734,400,0.461,0.253,20,20,1,1
81270,742,405,0.461,0.253,20,20,1,1
81370,750,409,0.438,0.253,20,20,1,1
81470,758,414,0.438,0.253,20,20,1,1
81570,766,418,0.461,0.276,20,20,1,1
