timestamp_ms,left_count,right_count,left_speed_ms,right_speed_ms,left_pwm,right_pwm,left_direction,right_direction
2008,5,0,0.000,0.000,10,10,1,1
2108,13,1,0.138,0.000,10,10,1,1
2208,17,3,0.138,0.000,10,10,1,1
2308,19,6,0.276,0.115,10,10,1,1
2408,22,8,0.276,0.115,10,10,1,1
2508,25,10,0.276,0.115,10,10,1,1
2608,29,12,0.184,0.115,10,10,1,1
2708,31,14,0.184,0.115,10,10,1,1
2808,35,16,0.184,0.138,10,10,1,1
2908,38,19,0.184,0.138,10,10,1,1
3008,41,21,0.184,0.138,10,10,1,1
3108,44,23,0.161,0.115,10,10,1,1
3208,47,25,0.161,0.115,10,10,1,1
3308,50,27,0.184,0.138,10,10,1,1
3408,53,29,0.184,0.138,10,10,1,1
3508,56,32,0.184,0.138,10,10,1,1
3608,59,34,0.161,0.115,10,10,1,1
3708,61,36,0.161,0.115,10,10,1,1
3808,64,38,0.161,0.115,10,10,1,1
3908,67,40,0.161,0.115,10,10,1,1
4008,70,43,0.161,0.115,10,10,1,1
4108,73,45,0.184,0.138,10,10,1,1
4208,76,47,0.184,0.138,10,10,1,1
4308,79,49,0.161,0.115,10,10,1,1
4408,82,51,0.161,0.115,10,10,1,1
4508,85,53,0.161,0.115,10,10,1,1
4608,88,56,0.184,0.138,10,10,1,1
4708,91,58,0.184,0.138,10,10,1,1
4808,94,60,0.161,0.115,10,10,1,1
4908,98,62,0.161,0.115,10,10,1,1
5008,101,64,0.161,0.115,10,10,1,1
5108,104,66,0.184,0.138,10,10,1,1
5208,107,69,0.184,0.138,10,10,1,1
5308,110,71,0.184,0.115,10,10,1,1
5408,113,73,0.184,0.115,10,10,1,1
5508,116,75,0.184,0.115,10,10,1,1
5608,118,77,0.161,0.115,10,10,1,1
5708,121,79,0.161,0.115,10,10,1,1
5808,124,82,0.161,0.138,10,10,1,1
5908,127,84,0.161,0.138,10,10,1,1
6008,130,86,0.161,0.138,10,10,1,1
6108,133,88,0.161,0.115,10,10,1,1
6208,136,90,0.161,0.115,10,10,1,1
6308,139,92,0.184,0.138,10,10,1,1
6408,142,95,0.184,0.138,10,10,1,1
6508,145,97,0.184,0.138,10,10,1,1
6608,148,99,0.161,0.115,10,10,1,1
6708,151,101,0.161,0.115,10,10,1,1
6808,154,103,0.184,0.138,10,10,1,1
6908,157,106,0.184,0.138,10,10,1,1
7008,160,108,0.184,0.138,10,10,1,1
7108,163,110,0.184,0.115,10,10,1,1
7208,166,112,0.184,0.115,10,10,1,1
7308,169,114,0.161,0.115,10,10,1,1
7408,172,116,0.161,0.115,10,10,1,1
