timestamp,left_pulses,left_speed,right_pulses,right_speed,left_pwm,right_pwm,command
4400,0,0.0,0,0.0,0,0,idle
4500,0,0.0,0,0.0,0,0,idle
4600,0,0.0,0,0.0,0,0,idle
4700,0,0.0,0,0.0,0,0,idle
4800,0,0.0,0,0.0,0,0,idle
4900,0,0.0,0,0.0,0,0,idle
5000,0,0.0,0,0.0,0,0,idle
5100,0,0.0,0,0.0,0,0,idle
5200,0,0.0,0,0.0,0,0,idle
5300,0,0.0,0,0.0,0,0,idle
5400,0,0.0,0,0.0,0,0,idle
5500,0,0.0,0,0.0,0,0,idle
5600,0,0.0,0,0.0,0,0,idle
5700,0,0.0,0,0.0,0,0,idle
5800,0,0.0,0,0.0,0,0,idle
5900,0,0.0,0,0.0,0,0,idle
6000,0,0.0,0,0.0,0,0,idle
6100,0,0.0,0,0.0,0,0,idle
6200,0,0.0,0,0.0,0,0,idle
6300,0,0.0,0,0.0,0,0,idle
6400,0,0.0,0,0.0,0,0,idle
6500,0,0.0,0,0.0,0,0,idle
6600,0,0.0,0,0.0,0,0,idle
6700,0,0.0,0,0.0,0,0,idle
6800,0,0.0,0,0.0,0,0,idle
6900,0,0.0,0,0.0,0,0,idle
7000,0,0.0,0,0.0,0,0,idle
7100,0,0.0,0,0.0,0,0,idle
7200,0,0.0,0,0.0,0,0,idle
7300,0,0.0,0,0.0,0,0,idle
7400,0,0.0,0,0.0,0,0,idle
7500,0,0.0,0,0.0,10,10,f10
7600,1,0.035,1,0.035,10,10,f10
7700,2,0.059,2,0.059,10,10,f10
7800,4,0.11,4,0.11,10,10,f10
7900,5,0.112,5,0.112,10,10,f10
8000,7,0.147,6,0.113,10,10,f10
8100,9,0.172,8,0.148,10,10,f10
8200,10,0.155,9,0.138,10,10,f10
8300,12,0.178,10,0.131,10,10,f10
8400,13,0.159,12,0.161,10,10,f10
8500,15,0.18,13,0.147,10,10,f10
8600,16,0.161,14,0.138,10,10,f10
8700,18,0.182,15,0.131,10,10,f10
8800,19,0.162,17,0.161,10,10,f10
8900,21,0.182,18,0.147,10,10,f10
9000,22,0.162,19,0.138,10,10,f10
9100,24,0.183,20,0.131,10,10,f10
9200,25,0.162,22,0.161,10,10,f10
9300,27,0.183,23,0.147,10,10,f10
9400,28,0.163,24,0.137,10,10,f10
9500,30,0.183,25,0.131,10,10,f10
9600,31,0.163,26,0.126,10,10,f10
9700,33,0.183,28,0.157,10,10,f10
9800,34,0.163,29,0.145,10,10,f10
9900,36,0.183,30,0.136,10,10,f10
10000,37,0.163,31,0.13,10,10,f10
10100,38,0.148,32,0.125,10,10,f10
10200,40,0.173,34,0.157,10,10,f10
10300,41,0.156,35,0.144,10,10,f10
10400,43,0.178,36,0.136,10,10,f10
10500,44,0.159,37,0.129,20,20,f20
10600,47,0.215,40,0.194,20,20,f20
10700,50,0.254,43,0.24,20,20,f20
10800,54,0.316,46,0.271,20,20,f20
10900,58,0.36,49,0.294,20,20,f20
11000,61,0.355,52,0.309,20,20,f20
11100,65,0.387,55,0.32,20,20,f20
11200,68,0.375,58,0.328,20,20,f20
11300,72,0.4,61,0.333,20,20,f20
11400,75,0.384,64,0.337,20,20,f20
11500,79,0.407,67,0.339,20,20,f20
11600,82,0.389,70,0.341,20,20,f20
11700,86,0.41,73,0.343,20,20,f20
11800,89,0.391,76,0.343,20,20,f20
11900,93,0.412,79,0.344,20,20,f20
12000,96,0.392,82,0.345,20,20,f20
12100,100,0.413,85,0.345,20,20,f20
12200,103,0.392,89,0.38,20,20,f20
12300,107,0.413,92,0.369,20,20,f20
12400,110,0.393,95,0.362,20,20,f20
12500,114,0.413,98,0.357,20,20,f20
12600,117,0.393,101,0.354,20,20,f20
12700,121,0.413,104,0.351,20,20,f20
12800,124,0.393,107,0.35,20,20,f20
12900,128,0.413,110,0.348,20,20,f20
13000,131,0.393,113,0.348,20,20,f20
13100,135,0.413,116,0.347,20,20,f20
13200,138,0.393,119,0.347,20,20,f20
13300,142,0.413,122,0.346,20,20,f20
13400,145,0.393,125,0.346,20,20,f20
13500,149,0.413,128,0.346,20,20,f20
13600,153,0.428,131,0.346,30,30,f30
13700,158,0.472,136,0.415,30,30,f30
13800,164,0.538,140,0.429,30,30,f30
13900,170,0.584,145,0.473,30,30,f30
14000,176,0.616,149,0.469,30,30,f30
14100,181,0.604,154,0.501,30,30,f30
14200,187,0.63,159,0.524,30,30,f30
14300,193,0.648,163,0.505,30,30,f30
14400,199,0.661,168,0.526,30,30,f30
14500,204,0.636,172,0.507,30,30,f30
14600,210,0.652,177,0.527,30,30,f30
14700,216,0.664,182,0.542,30,30,f30
14800,221,0.638,186,0.518,30,30,f30
14900,227,0.654,191,0.535,30,30,f30
15000,233,0.665,196,0.547,30,30,f30
15100,239,0.673,200,0.521,30,30,f30
15200,244,0.644,205,0.538,30,30,f30
15300,250,0.658,209,0.515,30,30,f30
15400,256,0.668,214,0.533,30,30,f30
15500,262,0.675,218,0.511,30,30,f30
15600,267,0.645,223,0.531,30,30,f30
15700,273,0.659,228,0.544,30,30,f30
15800,279,0.669,232,0.519,30,30,f30
15900,284,0.641,237,0.536,30,30,f30
16000,290,0.656,241,0.514,30,30,f30
16100,296,0.666,246,0.532,30,30,f30
16200,301,0.639,250,0.511,30,30,f30
16300,307,0.655,255,0.53,30,30,f30
16400,313,0.666,260,0.544,30,30,f30
16500,318,0.639,264,0.519,30,30,f30
16600,324,0.655,269,0.536,30,30,f30
16700,331,0.7,274,0.548,40,40,f40
