timestamp,left_pulses,left_speed,right_pulses,right_speed,left_pwm,right_pwm,command
1400,0,0.0,0,0.0,0,0,idle
1500,0,0.0,0,0.0,0,0,idle
1600,0,0.0,0,0.0,0,0,idle
1700,0,0.0,0,0.0,0,0,idle
1800,0,0.0,0,0.0,0,0,idle
1900,0,0.0,0,0.0,0,0,idle
2000,0,0.0,0,0.0,0,0,idle
2100,0,0.0,0,0.0,0,0,idle
2200,0,0.0,0,0.0,0,0,idle
2300,0,0.0,0,0.0,0,0,idle
2400,0,0.0,0,0.0,0,0,idle
2500,0,0.0,0,0.0,0,0,idle
2600,0,0.0,0,0.0,0,0,idle
2700,0,0.0,0,0.0,0,0,idle
2800,0,0.0,0,0.0,0,0,idle
2900,0,0.0,0,0.0,0,0,idle
3000,0,0.0,0,0.0,0,0,idle
3100,0,0.0,0,0.0,0,0,idle
3200,0,0.0,0,0.0,0,0,idle
3300,0,0.0,0,0.0,0,0,idle
3400,0,0.0,0,0.0,0,0,idle
3500,0,0.0,0,0.0,0,0,idle
3600,0,0.0,0,0.0,0,0,idle
3700,0,0.0,0,0.0,0,0,idle
3800,0,0.0,0,0.0,0,0,idle
3900,0,0.0,0,0.0,0,0,idle
4000,0,0.0,0,0.0,0,0,idle
4100,0,0.0,0,0.0,0,0,idle
4200,0,0.0,0,0.0,0,0,idle
4300,0,0.0,0,0.0,0,0,idle
4400,0,0.0,0,0.0,0,0,idle
4500,0,0.0,0,0.0,10,10,f10
4600,0,0.0,1,0.035,10,10,f10
4700,1,0.035,2,0.059,10,10,f10
4800,2,0.059,4,0.11,10,10,f10
4900,4,0.11,5,0.112,10,10,f10
5000,5,0.112,6,0.113,10,10,f10
5100,6,0.113,7,0.113,10,10,f10
5200,8,0.148,9,0.149,10,10,f10
5300,9,0.138,10,0.139,10,10,f10
5400,11,0.166,11,0.132,10,10,f10
5500,12,0.151,12,0.127,10,10,f10
5600,14,0.175,13,0.123,10,10,f10
5700,15,0.157,15,0.155,10,10,f10
5800,17,0.179,16,0.143,10,10,f10
5900,18,0.16,17,0.135,10,10,f10
6000,20,0.181,18,0.129,10,10,f10
6100,21,0.161,20,0.159,10,10,f10
6200,23,0.182,21,0.146,10,10,f10
6300,24,0.162,22,0.137,10,10,f10
6400,26,0.182,23,0.13,10,10,f10
6500,27,0.162,25,0.16,10,10,f10
6600,29,0.183,26,0.147,10,10,f10
6700,30,0.162,27,0.137,10,10,f10
6800,32,0.183,28,0.131,10,10,f10
6900,33,0.163,30,0.161,10,10,f10
7000,35,0.183,31,0.147,10,10,f10
7100,36,0.163,32,0.137,10,10,f10
7200,38,0.183,34,0.165,10,10,f10
7300,39,0.163,35,0.15,10,10,f10
7400,41,0.183,36,0.14,10,10,f10
7500,42,0.163,37,0.132,10,10,f10
7600,44,0.183,39,0.162,15,15,f15
7700,46,0.197,41,0.182,15,15,f15
7800,49,0.242,43,0.197,15,15,f15
